nome,descricao,pontuacao,codigo,exibir_no_grafico,id
FAXINA,,0.05,FXN,true,1
ANOTAÇÃO POSITIVA,,0.1,,true,2
ANOTAÇÃO NEGATIVA,,-0.2,,true,3
DESTAQUE EM INSTRUÇÃO,,0.1,,true,4
FALTA EM FORMATURA,,-0.1,,true,5
HOSPITAL,,0,,true,6
BRAVO ZULU,,0.2,BZ,true,7
PRESENÇA EM INSTRUÇÃO,O aluno participou do Adestramento/Instrução,0,,true,8
ATRASO,,-0.05,,true,9
PARTE DE OCORRÊNCIA,,-0.3,,true,10
PARTE DE OCORRÊNCIA JULGADA,,-0.3,,true,11
POSTURA INADEQUADA,,-0.1,,true,12
POSTURA INADEQUADA,,-0.1,,true,13
DESRESPEITO À HIERARQUIA,,-0.2,,true,14
LINGUAGEM IMPRÓPRIA,,-0.1,,true,15
DESCUMPRIMENTO DE ORDENS OU NORMAS,,-0.15,,true,16
DESATENÇÃO EM INSTRUÇÕES OU FORMATURAS,,-0.1,,true,17
SAÍDA DE LOCAL DE INSTRUÇÃO/FAXINA SEM PERMISSÃO,,-0.1,,true,18
UNIFORME EM DESALINHO,,-0.1,,true,19
APRESENTAÇÃO PESSOAL INADEQUADA,,-0.1,,true,20
FALTA DE APRUMO,,-0.1,,true,21
RENDIMENTO INSATISFATÓRIO,,-0.05,,true,22
FALTA DE PARTICIPAÇÃO,,-0.1,,true,23
TAREFA NÃO CUMPRIDA,,-0.1,,true,24
DESINTERESSE NAS ATIVIDADES,,-0.1,,true,25
FALTA DE MATERIAL OBRIGATÓRIO,,-0.1,,true,26
DESEMPENHO FÍSICO INSUFICIENTE,,-0.1,,true,27
FALTA DE EMPENHO NO TFM,,-0.1,,true,28
RECUSA INJUSTIFICADA EM PARTICIPAR DE ATIVIDADE DE TFM,,-0.1,,true,29
FALTA DE ESPÍRITO DE CORPO,,-0.1,,true,30
FALTA DE INICIATIVA,,-0.1,,true,31
DESLEIXO COM MATERIAIS,,-0.1,,true,32
PASSOU MAL,,-0.1,,true,33
OBSERVAÇÃO POSITIVA,,0.05,,true,34
REALIZADO,,0,,true,35
FALTA DE CONTROLE EMOCIONAL,,-0.1,,true,36
ENFERMARIA,,0,,true,37
FATO OBSERVADO,,0,,true,38
NÃO SE APRESENTOU,,-10,,true,39
BAIXA (SOLICITADO BAIXA),,-10,,true,40
RELATO DE ALUNO,,0,,true,41
DISPENSA MÉDICA,,0,,true,42
OBSERVAÇÃO NEGATIVA,,-0.1,,true,43
SAÚDE,Qualquer fato relativo a saúde,0,,true,44
BOA APRESENTAÇÃO,,0.1,,true,45
ADMINISTRATIVO,,0,,true,46
DOAÇÃO DE SANGUE,,0.15,,true,47
DOAÇÃO VOLUNTÁRIA,,0.05,,true,48
PREENCHIMENTO DOCUMENTO INCORRETO,,-0.03,,true,49
PREENCHIMENTO DOCUMENTO CORRETO,,0.02,,true,50
NÃO ESTAVA CANTANDO HINO/CANÇÃO,,-0.05,,true,51
ATLETA,,0.5,,true,52
PARTE DE OCORRENCIA - SERVIÇO EXTRA,,-0.4,,true,53